,ALPA4,ABEV3,BBDC3,BBDC4,BBAS3,BRKM5,CMIG4,CPLE6,ELET3,ELET6,EMBR3,EGIE3,GGBR4,GOAU4,ITSA4,ITUB4,LIGT3,PETR3,PETR4,SBSP3,CSNA3,VIVT3,TIMS3,USIM5,VALE3,IBOV
ALPA4,1.0,0.25665417389385486,0.33428323191903475,0.34097283077961493,0.32755592512045417,0.20650379966021307,0.299345473634986,0.24019883281738483,0.2733319349481716,0.2737080087451732,0.2053451026922046,0.18034799801000648,0.3064684506694145,0.27763320261482977,0.40311999785851244,0.3543729492418307,0.24547001296447743,0.33097128568846323,0.34517977563357527,0.33324381549272153,0.31260861683618396,0.25893402697814694,0.30942830763437323,0.26832524862692386,0.1864221874836673,0.46761947919249736
ABEV3,0.25665417389385486,1.0,0.3813088381140487,0.36070436436166214,0.309842841150967,0.19219884510299662,0.22162256204749425,0.2366852847480112,0.18354521912513955,0.181853690753263,0.27747271813597274,0.2109750185093386,0.29386642456240536,0.24918323649506033,0.38209665646189467,0.3382476717389482,0.24854710448931605,0.2169199859597946,0.2275103350524749,0.32438848824018257,0.15981545982604115,0.2509151709088336,0.28692312333293957,0.217483273163751,0.18625935395817492,0.41439996712672
BBDC3,0.33428323191903475,0.3813088381140487,1.0,0.9394549897067757,0.6805985321108156,0.21733095196935054,0.5366381926392813,0.5162543167460742,0.41455939252357876,0.3987713284506073,0.25377260139026825,0.2575814684978514,0.4523569830348036,0.44755160263237276,0.8120073517402473,0.8004776532224327,0.3907158061373309,0.5391007147938262,0.5860624003137773,0.4118482559579744,0.42233494277167916,0.2664363380004843,0.3627452670758703,0.4771485154373391,0.34826790912396316,0.7259445925555328
BBDC4,0.34097283077961493,0.36070436436166214,0.9394549897067757,1.0,0.7091063462646449,0.21063741673125794,0.5691917014800162,0.5208302312554399,0.4439504564531799,0.43316249967185744,0.27141584116147327,0.2625103842986366,0.4884620240326379,0.4745657256978999,0.8683804618251892,0.8574155512534665,0.3985220875701921,0.580026866227027,0.6291874671094675,0.4093427579899034,0.4526206780086194,0.26712453919184714,0.3989217416546372,0.505626910633427,0.38583383217147327,0.772527618173372
BBAS3,0.32755592512045417,0.309842841150967,0.6805985321108156,0.7091063462646449,1.0,0.2256900761874198,0.5761314799604021,0.5338476762070895,0.4714497970510742,0.4665225518541402,0.1979337756624433,0.2372998990841944,0.5654883303691022,0.5511807420784813,0.7291614176532241,0.7046014736526065,0.41047420365853293,0.6350536668674742,0.6927469376404772,0.4394900042207323,0.4941937757682699,0.33099231025193415,0.2937117211142243,0.5865153083718583,0.35770480796245885,0.7738494991353295
BRKM5,0.20650379966021307,0.19219884510299662,0.21733095196935054,0.21063741673125794,0.2256900761874198,1.0,0.23437959456467655,0.26195271733412073,0.24699618838093348,0.2695552856852885,0.31299690780768447,0.24485438667421452,0.3333106091983956,0.3273859176265488,0.22469498465382168,0.2076575340561617,0.3471252924856982,0.25968515767721,0.2353419371935545,0.33953104503691955,0.31114218831404783,0.2035525099593027,0.12609867298618996,0.3052860664332723,0.20829200510687867,0.4029464803522023
CMIG4,0.299345473634986,0.22162256204749425,0.5366381926392813,0.5691917014800162,0.5761314799604021,0.23437959456467655,1.0,0.6713600061857293,0.5286676838050861,0.520653648681179,0.17408685903682522,0.26575213664971603,0.4529380430541605,0.46543928868598683,0.5925300557695314,0.5754937721105672,0.4992438249181632,0.44784387460833874,0.5158654827419621,0.454450254373976,0.32141687301598765,0.3064592602539005,0.32506684234300615,0.4661547201358976,0.2597765676617422,0.6124651067915075
CPLE6,0.24019883281738483,0.2366852847480112,0.5162543167460742,0.5208302312554399,0.5338476762070895,0.26195271733412073,0.6713600061857293,1.0,0.5394932252966672,0.5419270862566357,0.1741587031539526,0.26509076197297027,0.41374101676035785,0.42090849939726716,0.5296770928721466,0.5167829752059747,0.4545045346919094,0.42149354130885675,0.4491930247200503,0.458100066615779,0.33089636937531547,0.31951008330397435,0.3601340190861535,0.4137981824710862,0.21679309182883288,0.618732624716461
ELET3,0.2733319349481716,0.18354521912513955,0.41455939252357876,0.4439504564531799,0.4714497970510742,0.24699618838093348,0.5286676838050861,0.5394932252966672,1.0,0.9412401741865974,0.11808624192032668,0.19958096452238872,0.3869707695780787,0.37844979627438,0.4800075657083677,0.4585355835396361,0.4068541784689939,0.4301027082178277,0.45767221632023936,0.39744033730836636,0.3443690481411863,0.20626831996981995,0.20139627419025163,0.41212019715782955,0.19735488148768837,0.5392475064724747
ELET6,0.2737080087451732,0.181853690753263,0.3987713284506073,0.43316249967185744,0.4665225518541402,0.2695552856852885,0.520653648681179,0.5419270862566357,0.9412401741865974,1.0,0.15340399899764273,0.19255010756488578,0.3760150642740138,0.3639387993385068,0.47626035516240317,0.4519979406609583,0.38712994864849415,0.41517591774505946,0.43823264929905886,0.40669119993294717,0.3574391127751817,0.1800787880832122,0.20764811904570518,0.39236111399786927,0.21134369289875285,0.5366662977445316
EMBR3,0.2053451026922046,0.27747271813597274,0.25377260139026825,0.27141584116147327,0.1979337756624433,0.31299690780768447,0.17408685903682522,0.1741587031539526,0.11808624192032668,0.15340399899764273,1.0,0.20634436707895298,0.23507404139349758,0.1750145478843386,0.29785006293795824,0.2600794505490694,0.14700787177312585,0.19772239380041948,0.1874255924095059,0.27783717171975064,0.1983005183458301,0.1840198549221989,0.2575000523789916,0.172830966199689,0.22581996582390104,0.3621824601783607
EGIE3,0.18034799801000648,0.2109750185093386,0.2575814684978514,0.2625103842986366,0.2372998990841944,0.24485438667421452,0.26575213664971603,0.26509076197297027,0.19958096452238872,0.19255010756488578,0.20634436707895298,1.0,0.21739000687580262,0.22667998802324663,0.2770101129213958,0.2677486810540964,0.2476429874760505,0.18543940037484374,0.2070703143736742,0.2690294862938482,0.17597339987533614,0.20532205966050404,0.19973553523028992,0.19215555411911894,0.037208776329062304,0.3165641818708138
GGBR4,0.3064684506694145,0.29386642456240536,0.4523569830348036,0.4884620240326379,0.5654883303691022,0.3333106091983956,0.4529380430541605,0.41374101676035785,0.3869707695780787,0.3760150642740138,0.23507404139349758,0.21739000687580262,1.0,0.9263142790906433,0.5406193168265441,0.5085935677843911,0.4219998201038147,0.5191498101405501,0.5703561196210408,0.43861711803286885,0.641190630351447,0.30451255376544495,0.2841872078930839,0.7227831080096871,0.5477723046272504,0.7037594022773158
GOAU4,0.27763320261482977,0.24918323649506033,0.44755160263237276,0.4745657256978999,0.5511807420784813,0.3273859176265488,0.46543928868598683,0.42090849939726716,0.37844979627438,0.3639387993385068,0.1750145478843386,0.22667998802324663,0.9263142790906433,1.0,0.4982999472510212,0.4852998037258095,0.42874048817702487,0.5127887948408054,0.5764998646294713,0.3908070410261769,0.5947365636442223,0.26350999920344503,0.28506409254759707,0.7337619126731383,0.5755689257548618,0.6586765740046715
ITSA4,0.40311999785851244,0.38209665646189467,0.8120073517402473,0.8683804618251892,0.7291614176532241,0.22469498465382168,0.5925300557695314,0.5296770928721466,0.4800075657083677,0.47626035516240317,0.29785006293795824,0.2770101129213958,0.5406193168265441,0.4982999472510212,1.0,0.9465259875127167,0.3952151174788672,0.5631089030959676,0.6063422800893092,0.4675038560689688,0.43499444298359485,0.3165672527130066,0.3895778006682233,0.5048370889879427,0.3771868845374176,0.8125812267880714
ITUB4,0.3543729492418307,0.3382476717389482,0.8004776532224327,0.8574155512534665,0.7046014736526065,0.2076575340561617,0.5754937721105672,0.5167829752059747,0.4585355835396361,0.4519979406609583,0.2600794505490694,0.2677486810540964,0.5085935677843911,0.4852998037258095,0.9465259875127167,1.0,0.35634781384791003,0.5823552743444513,0.6163030333876186,0.40588461215363136,0.4352366166000328,0.26855127978809573,0.38085298836066944,0.47951238506032534,0.36296153491729505,0.786980675828655
LIGT3,0.24547001296447743,0.24854710448931605,0.3907158061373309,0.3985220875701921,0.41047420365853293,0.3471252924856982,0.4992438249181632,0.4545045346919094,0.4068541784689939,0.38712994864849415,0.14700787177312585,0.2476429874760505,0.4219998201038147,0.42874048817702487,0.3952151174788672,0.35634781384791003,1.0,0.38627946722865625,0.4166343861202992,0.40027970390511775,0.32908147171654,0.3443989943808364,0.2680202968136105,0.4373894537632619,0.29107714511464505,0.5508735461845701
PETR3,0.33097128568846323,0.2169199859597946,0.5391007147938262,0.580026866227027,0.6350536668674742,0.25968515767721,0.44784387460833874,0.42149354130885675,0.4301027082178277,0.41517591774505946,0.19772239380041948,0.18543940037484374,0.5191498101405501,0.5127887948408054,0.5631089030959676,0.5823552743444513,0.38627946722865625,1.0,0.9716328596494057,0.3672600879643516,0.5444831269860161,0.23378841907209127,0.33754173152953754,0.5355316491149319,0.44360224402711285,0.7350705821047834
PETR4,0.34517977563357527,0.2275103350524749,0.5860624003137773,0.6291874671094675,0.6927469376404772,0.2353419371935545,0.5158654827419621,0.4491930247200503,0.45767221632023936,0.43823264929905886,0.1874255924095059,0.2070703143736742,0.5703561196210408,0.5764998646294713,0.6063422800893092,0.6163030333876186,0.4166343861202992,0.9716328596494057,1.0,0.39007635249184436,0.5471205396943318,0.26407759760820954,0.3649019199163613,0.6001472929148786,0.46105413107402654,0.7627755898868752
SBSP3,0.33324381549272153,0.32438848824018257,0.4118482559579744,0.4093427579899034,0.4394900042207323,0.33953104503691955,0.454450254373976,0.458100066615779,0.39744033730836636,0.40669119993294717,0.27783717171975064,0.2690294862938482,0.43861711803286885,0.3908070410261769,0.4675038560689688,0.40588461215363136,0.40027970390511775,0.3672600879643516,0.39007635249184436,1.0,0.36896425614913136,0.28272941708292343,0.19822810355054535,0.4347662793949041,0.22402618302221333,0.5896818205125144
CSNA3,0.31260861683618396,0.15981545982604115,0.42233494277167916,0.4526206780086194,0.4941937757682699,0.31114218831404783,0.32141687301598765,0.33089636937531547,0.3443690481411863,0.3574391127751817,0.1983005183458301,0.17597339987533614,0.641190630351447,0.5947365636442223,0.43499444298359485,0.4352366166000328,0.32908147171654,0.5444831269860161,0.5471205396943318,0.36896425614913136,1.0,0.20898255246605987,0.22979740221823983,0.721468392766191,0.6150302545558117,0.6500043161824467
VIVT3,0.25893402697814694,0.2509151709088336,0.2664363380004843,0.26712453919184714,0.33099231025193415,0.2035525099593027,0.3064592602539005,0.31951008330397435,0.20626831996981995,0.1800787880832122,0.1840198549221989,0.20532205966050404,0.30451255376544495,0.26350999920344503,0.3165672527130066,0.26855127978809573,0.3443989943808364,0.23378841907209127,0.26407759760820954,0.28272941708292343,0.20898255246605987,1.0,0.258223441851368,0.2995285016928563,0.2273578742123036,0.42068987066248015
TIMS3,0.30942830763437323,0.28692312333293957,0.3627452670758703,0.3989217416546372,0.2937117211142243,0.12609867298618996,0.32506684234300615,0.3601340190861535,0.20139627419025163,0.20764811904570518,0.2575000523789916,0.19973553523028992,0.2841872078930839,0.28506409254759707,0.3895778006682233,0.38085298836066944,0.2680202968136105,0.33754173152953754,0.3649019199163613,0.19822810355054535,0.22979740221823983,0.258223441851368,1.0,0.268461465203438,0.20373884271792875,0.48173014107070905
USIM5,0.26832524862692386,0.217483273163751,0.4771485154373391,0.505626910633427,0.5865153083718583,0.3052860664332723,0.4661547201358976,0.4137981824710862,0.41212019715782955,0.39236111399786927,0.172830966199689,0.19215555411911894,0.7227831080096871,0.7337619126731383,0.5048370889879427,0.47951238506032534,0.4373894537632619,0.5355316491149319,0.6001472929148786,0.4347662793949041,0.721468392766191,0.2995285016928563,0.268461465203438,1.0,0.5350804308159748,0.687521372366263
VALE3,0.1864221874836673,0.18625935395817492,0.34826790912396316,0.38583383217147327,0.35770480796245885,0.20829200510687867,0.2597765676617422,0.21679309182883288,0.19735488148768837,0.21134369289875285,0.22581996582390104,0.037208776329062304,0.5477723046272504,0.5755689257548618,0.3771868845374176,0.36296153491729505,0.29107714511464505,0.44360224402711285,0.46105413107402654,0.22402618302221333,0.6150302545558117,0.2273578742123036,0.20373884271792875,0.5350804308159748,1.0,0.547575254932413
IBOV,0.46761947919249736,0.41439996712672,0.7259445925555328,0.772527618173372,0.7738494991353295,0.4029464803522023,0.6124651067915075,0.618732624716461,0.5392475064724747,0.5366662977445316,0.3621824601783607,0.3165641818708138,0.7037594022773158,0.6586765740046715,0.8125812267880714,0.786980675828655,0.5508735461845701,0.7350705821047834,0.7627755898868752,0.5896818205125144,0.6500043161824467,0.42068987066248015,0.48173014107070905,0.687521372366263,0.547575254932413,1.0
