,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
ALPA4,270.0,2.5012435274438034,11.064303572698952,-38.943894389,-4.476263989125,1.9602980998000001,8.541899421775,44.652981427,0.05108378750926738,1.2029922566453166
ABEV3,270.0,1.7665074890306294,7.828493768085367,-39.285136049,-2.696129597,1.91106934565,6.017561029325,30.846838073,-0.2696377523780575,3.362000520635889
BBDC3,270.0,1.685430855829393,9.66787504211088,-31.030563502,-4.788686465425,1.11922590755,7.2458834057,35.732991966,0.39851794404272833,0.6512875240326581
BBDC4,270.0,1.692226587313311,9.832022590152011,-31.926807755,-4.51055277375,0.907931056725,8.05482925445,30.42483333,0.18960618015978895,0.45209885080862655
BBAS3,270.0,2.1405305255880775,11.978647799035544,-40.182422052,-4.609941972225,1.09046759875,9.405603219575,47.543975223,0.16859805976443745,1.6112653729982664
BRKM5,270.0,1.7891627983723408,13.42421414092778,-35.961323912,-7.167631059700001,0.16863351811600003,10.30569535925,57.672451222,0.5751061155848746,1.0875119806258358
CMIG4,270.0,1.6333143667391397,10.626789880140585,-36.1747851,-4.779176008275,1.77998813585,7.800991159225,54.05027933,0.36704913416897367,2.6056964667779363
CPLE6,270.0,1.406454606168037,9.957783384439638,-33.734938511,-4.802310489775,1.7145200109999998,7.54063467495,28.677014043,0.011802904617546857,0.26251256676562784
ELET3,270.0,1.6795999366150736,14.480476604280154,-32.959640488,-7.226538721075,-0.35200416045499994,8.5680011524,60.5,0.8539394482714883,1.9391812790532388
ELET6,270.0,1.6928032856016662,12.986688587395312,-40.247678019,-6.244665839425,0.91749501389,9.56432469735,44.479943202,0.4216763396774638,1.243592056527759
EMBR3,270.0,1.0110625759920109,11.643158900824657,-43.769286901,-5.238283601525,-0.17523682218,7.163557405075,39.135381115,0.06884745047052215,2.0975489711397257
EGIE3,270.0,2.1889873292089668,9.397496179767877,-29.65627498,-3.1119103568499997,1.309854581,5.71432436315,56.179775281,1.4767121863047312,6.5978814961484975
GGBR4,270.0,2.0315419266421118,13.180702468571074,-40.532544379,-5.852684155125,1.71651785715,9.364400582825,84.702549575,0.8394772731815343,5.505656823092689
GOAU4,270.0,1.9089288498192556,14.074639969069041,-45.054945055,-5.976318104175,0.85831208207,9.425832507374999,100.82644628,1.0784711097988875,9.094813662581839
ITSA4,270.0,1.723966741003174,8.679547067544771,-26.855713094,-3.4399251907500004,1.39440064805,7.313158803575,31.468535957,0.031418393414529226,0.5269467707740838
ITUB4,270.0,1.6142914519016518,9.119297664782898,-27.809910896,-4.015519086825,1.5225667724,7.24278533435,36.094673205,0.0797176142568719,0.9614178222567062
LIGT3,270.0,0.30676712851899635,13.525352272798123,-55.50945136,-8.008315683425,-0.48883492582,7.273746051325,52.559725747,0.44326272051072857,2.3260427365444425
PETR3,270.0,1.7590594932930002,12.002014404835029,-47.918968692,-5.629582165275,0.997124465425,8.806053748575,48.747390397,0.2356033297765234,1.8644452464114778
PETR4,270.0,1.7196975185512555,11.934136780865305,-44.790844515,-5.745907316799999,1.2286371865999999,8.537320608475,62.451361868,0.3932902040796298,2.9159287068015693
SBSP3,270.0,1.5197414613034825,10.495356210043278,-34.925376321,-4.688540189675,1.1051252857,7.777742217,37.682539682,-0.09166711005103399,1.252025001216638
CSNA3,270.0,2.5634436515230368,15.84609754984914,-50.228310502,-7.982250003275,2.11134709795,13.4647563715,83.776223776,0.5197682895618292,2.340886383145288
VIVT3,270.0,1.4156573346477923,7.651967872492878,-28.623187354,-2.8066254632,1.54293886445,5.6764801492000005,41.262011265,0.700385353576206,4.046276618504537
TIMS3,270.0,1.3081205957274518,12.069773444034661,-28.84057971,-5.4920006315,0.51440919015,7.266155393549999,65.505989427,0.9384213321357948,3.3608698467916502
USIM5,270.0,2.1647630279206296,17.113878616648062,-45.161290323,-9.0685007953,1.38026549045,11.9573590095,104.542268,1.1915474939309485,6.355677457361962
VALE3,270.0,2.0607458481819774,10.245485966993407,-27.780599289,-4.761474580875,1.2476131602,8.02007901815,31.395348837,0.3037902553045942,0.4606244460218476
IBOV,270.0,0.9110226031737038,7.158105000743754,-29.904329943,-3.5550013056500003,0.75812699979,6.1331643776,17.91927627,-0.3809229194802844,1.0539555094433766
ALPA4,242.0,2.8773362127485,10.667561832247326,-38.943894389,-4.139536870525,1.9602980998000001,8.594649851949999,44.652981427,0.2239576395604345,1.4863123172424677
ABEV3,242.0,1.9326438037702478,7.696404193960395,-39.285136049,-2.31647583885,2.2234384378999996,6.017561029325,30.846838073,-0.373043001144461,4.128159009539011
BBDC3,242.0,1.9191643984085371,9.49998635769662,-19.393912035,-4.76740745175,1.5967322041999998,7.201932979275,35.732991966,0.5531293133584574,0.5360394655480887
BBDC4,242.0,1.892427688052083,9.601922107975359,-22.606431873,-4.4269614803,1.6227835822499999,7.56085270575,30.42483333,0.3130839963712117,0.33054926281286745
BBAS3,242.0,2.3735180938039715,12.008738329596852,-35.076923077,-4.6682477465000005,1.2345836249,9.559811017175,47.543975223,0.3206290020651863,1.3593831728541899
BRKM5,242.0,1.6310431395129423,12.95289488741083,-33.475026567,-7.02367250195,0.37855419832500004,10.2592879255,57.672451222,0.6478473042130124,1.4221978397495043
CMIG4,242.0,1.6047019173484203,10.497807528740454,-29.062049062,-4.8025006241499995,1.72726040635,7.6310604383000005,54.05027933,0.5673546613654122,2.6920503557951747
CPLE6,242.0,1.4018328130140498,9.936916457454233,-33.734938511,-4.802310489775,1.7145200109999998,7.358530554625,28.677014043,0.05619990210500548,0.2792511964379343
ELET3,242.0,1.605522107720537,14.712204370299759,-32.959640488,-7.714091062525,-0.677674578625,8.523326755174999,60.5,0.9556295141568014,2.010313948146001
ELET6,242.0,1.6279134057209919,13.118457980721338,-40.247678019,-6.4180666942,0.842407689835,9.56432469735,44.479943202,0.504983516959425,1.3277550539173513
EMBR3,242.0,1.1041904665854254,10.707579694760227,-43.769286901,-4.3953466270499995,0.11703479894899999,6.5211419237,34.736059462,0.013399103645179577,2.071170449062288
EGIE3,242.0,2.4316571051944256,9.711501618646958,-29.65627498,-3.3094548711,1.4130735212499999,5.71432436315,56.179775281,1.4634818658249409,6.1676221308
GGBR4,242.0,1.9745611862168595,13.208511109632958,-33.99339934,-5.87465562815,0.8571581914349999,9.170336869175,84.702549575,1.0802868643295798,5.8776217303003
GOAU4,242.0,1.8397032985710289,14.220339060650165,-45.054945055,-5.976318104175,0.61999506752,8.94844566545,100.82644628,1.2936926776191355,9.57598953777645
ITSA4,242.0,1.963029408458624,8.536384977586088,-24.369747899,-3.3707015134500002,1.4153215878499998,7.313158803575,31.468535957,0.1402035217691567,0.4362260771244997
ITUB4,242.0,1.7770832734433306,8.929085390972832,-26.931761164,-3.925487768175,1.66313600665,7.223665698325,36.094673205,0.15950724871831695,0.9719856117959687
LIGT3,242.0,0.6277910446455744,12.808187517545637,-29.735319709,-7.384315607075,-0.200552090065,6.9094581185249995,52.559725747,0.804884277277676,2.258341032023356
PETR3,242.0,1.5967410851369834,11.56654205354546,-32.235907153,-6.058631097875001,0.913013101215,8.411205572775,48.747390397,0.5046974779994076,1.3370905317224402
PETR4,242.0,1.5823645499755787,11.67362707759301,-33.58974359,-5.79174944945,1.043553191,8.11775846705,62.451361868,0.6510103133157257,2.8289156424961197
SBSP3,242.0,1.7105462961692988,10.190343649887097,-34.925376321,-4.2180468078999995,1.2316648425999999,8.1546566723,37.682539682,-0.11609254677909493,1.0443494985771746
CSNA3,242.0,2.4912359939926447,15.551667421874022,-50.228310502,-8.24131367965,1.29356670005,12.34884904,83.776223776,0.6767853187468594,2.9125023649427373
VIVT3,242.0,1.5023407390761325,7.8744418233508675,-28.623187354,-2.78749190015,1.5512641711,5.726670174475,41.262011265,0.7023867835537382,3.9394032385514226
TIMS3,242.0,1.4759409762400908,12.37252826080631,-28.84057971,-5.622866171925001,0.6012494080099999,7.531195314825,65.505989427,0.9457674080146763,3.266796880829597
USIM5,242.0,2.173890822664339,17.207867876522155,-45.161290323,-9.0685007953,1.38026549045,11.937720329,104.542268,1.327309360841778,6.957471812627233
VALE3,242.0,1.919373715732124,10.3258270409375,-27.780599289,-4.79630005405,0.86952504198,7.992374005349999,31.395348837,0.31287562218146586,0.46405175510856234
IBOV,242.0,0.9907481671769421,6.943009901694681,-24.797642357,-3.5311798321000003,0.75812699979,6.05961337175,17.91927627,-0.16004767962768843,0.257593425161593
